Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total Salaries With Tax,Date,Time,Payment,COGS without Tax,Gross Income Percentage,Profit Income,Rating,Rounded_Rating
750678428,A,Yangon,Member,Female,Health and beauty,$74.69,7,$26.14,$548.97,1/5/2019,1:08:00 PM,Ewallet,$522.83,$4.76,$26.14,9.1,9
226313081,C,Naypyitaw,Normal,Female,Electronic accessories,$15.28,5,$3.82,$80.22,3/8/2019,10:29:00 AM,Cash,$76.40,$4.76,$3.82,9.6,10
631413108,A,Yangon,Normal,Male,Home and lifestyle,$46.33,7,$16.22,$340.53,3/3/2019,1:23:00 PM,Credit card,$324.31,$4.76,$16.22,7.4,7
123191176,A,Yangon,Member,Male,Health and beauty,$58.22,8,$23.29,$489.05,1/27/2019,8:33:00 PM,Ewallet,$465.76,$4.76,$23.29,8.4,8
373737910,A,Yangon,Normal,Male,Sports and travel,$86.31,7,$30.21,$634.38,2/8/2019,10:37:00 AM,Ewallet,$604.17,$4.76,$30.21,5.3,5
699143026,C,Naypyitaw,Normal,Male,Electronic accessories,$85.39,7,$29.89,$627.62,3/25/2019,6:30:00 PM,Ewallet,$597.73,$4.76,$29.89,4.1,4
355535943,A,Yangon,Member,Female,Electronic accessories,$68.84,6,$20.65,$433.69,2/25/2019,2:36:00 PM,Ewallet,$413.04,$4.76,$20.65,5.8,6
315225665,C,Naypyitaw,Normal,Female,Home and lifestyle,$73.56,10,$36.78,$772.38,2/24/2019,11:38:00 AM,Ewallet,$735.60,$4.76,$20.65,8,8
665329167,A,Yangon,Member,Female,Health and beauty,$36.26,2,$3.63,$76.15,1/10/2019,5:15:00 PM,Credit card,$72.52,$4.76,$3.63,7.2,7
692925582,B,Mandalay,Member,Female,Food and beverages,$54.84,3,$8.23,$172.75,2/20/2019,1:27:00 PM,Credit card,$164.52,$4.76,$8.23,5.9,6
351620822,B,Mandalay,Member,Female,Fashion accessories,$14.48,4,$2.90,$60.82,2/6/2019,6:07:00 PM,Ewallet,$57.92,$4.76,$2.90,4.5,5
529563974,B,Mandalay,Member,Male,Electronic accessories,$25.51,4,$5.10,$107.14,3/9/2019,5:03:00 PM,Cash,$102.04,$4.76,$5.10,6.8,7
365640515,A,Yangon,Normal,Female,Electronic accessories,$46.95,5,$11.74,$246.49,2/12/2019,10:25:00 AM,Ewallet,$234.75,$4.76,$11.74,7.1,7
252562699,A,Yangon,Normal,Male,Food and beverages,$43.19,10,$21.60,$453.50,2/7/2019,4:48:00 PM,Ewallet,$431.90,$4.76,$21.60,8.2,8
829343910,A,Yangon,Normal,Female,Health and beauty,$71.38,10,$35.69,$749.49,3/29/2019,7:21:00 PM,Cash,$713.80,$4.76,$35.69,5.7,6
299461805,B,Mandalay,Member,Female,Sports and travel,$93.72,6,$28.12,$590.44,1/15/2019,4:19:00 PM,Cash,$562.32,$4.76,$28.12,4.5,5
656959349,A,Yangon,Member,Female,Health and beauty,$68.93,7,$24.13,$506.64,3/11/2019,11:03:00 AM,Credit card,$482.51,$4.76,$24.13,4.6,5
765266951,A,Yangon,Normal,Male,Sports and travel,$72.61,6,$21.78,$457.44,1/1/2019,10:39:00 AM,Credit card,$435.66,$4.76,$21.78,6.9,7
329621586,A,Yangon,Normal,Male,Food and beverages,$54.67,3,$8.20,$172.21,1/21/2019,6:00:00 PM,Credit card,$164.01,$4.76,$8.20,8.6,9
319503348,B,Mandalay,Normal,Female,Home and lifestyle,$40.30,2,$4.03,$84.63,3/11/2019,3:30:00 PM,Ewallet,$80.60,$4.76,$4.03,4.4,4
300714605,C,Naypyitaw,Member,Male,Electronic accessories,$86.04,5,$21.51,$451.71,2/25/2019,11:24:00 AM,Ewallet,$430.20,$4.76,$21.51,4.8,5
371855789,B,Mandalay,Normal,Male,Health and beauty,$87.98,3,$13.20,$277.14,3/5/2019,10:40:00 AM,Ewallet,$263.94,$4.76,$13.20,5.1,5
